"","X","id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","student1","student2","correct1","correct2","suggestion1","suggestion2","X.1","forecastdate","state","district","special","candidate","party","incumbent","model","win.AF8.probability","voteshare","p10.AF8.voteshare","p90.AF8.voteshare","screename","screenname","realname","realname2","dup","dup2"
"1",131,"36686040","Maxine Waters","RepMaxineWaters","Los Angeles/Washington, D.C.","Proudly serving the people of California's 43rd District in Congress. Ranking Member of the House Financial Services Committee (@FSCDems).","https://t.co/ODIbQQR7g9",FALSE,872018,668,5660,"Thu Apr 30 15:17:45 +0000 2009",1331,NA,NA,TRUE,TRUE,2745,"astraiha","jhahm",TRUE,NA,NA,NA,132,"2018+AC0-08+AC0-01","CA",43,NA,"Maxine Waters","D",TRUE,"classic","1","78.94","73.61","84.31",NA,"RepMaxineWaters",NA,"RepMaxineWaters",FALSE,FALSE
"2",111,"21059255","Ted Lieu","tedlieu","California","Husband of Betty, the love of my life. Father of two great kids. USAF veteran. Member of Congress. In that order. Also, I don't take orders from Vladimir Putin.","https://t.co/YZX138uDSy",FALSE,846591,8349,5417,"Tue Feb 17 03:12:31 +0000 2009",31976,NA,NA,FALSE,TRUE,19304,"astraiha","chrifisc",TRUE,NA,NA,NA,112,"2018+AC0-08+AC0-01","CA",33,NA,"Ted Lieu","D",TRUE,"classic","1","72.85","67.15","78.54",NA,"tedlieu",NA,"tedlieu",FALSE,FALSE
"3",269,"8.87704e+17","J.D. Scholten","Scholten4Iowa","POB 3531 Sioux City, IA 51102","Iowa born and raised. Former <U+26BE><U+FE0F> player & the Democrat running against Steve King in #IA04. Standing Tall for All!","https://t.co/omZPq72UiX",FALSE,90818,86646,401,"Wed Jul 19 16:01:45 +0000 2017",7142,NA,NA,TRUE,TRUE,2753,"astraiha","jhahm",TRUE,NA,NA,NA,281,"2018+AC0-08+AC0-01","IA",4,NA,"J.D. Scholten","D",FALSE,"classic","0.1847","44.36","38.71","50.1",NA,"Scholten4Iowa",NA,"Scholten4Iowa",FALSE,FALSE
"4",164,"19407835","Rep. Mike Coffman","RepMikeCoffman","Colorado's 6th District","Proudly representing Colorado's Sixth Congressional District | @USMC Combat Vet | FB: RepMikeCoffman | RTs/follow <U+2260> endorsement","https://t.co/WxboE0uaqn",FALSE,40812,1906,1732,"Fri Jan 23 19:04:01 +0000 2009",806,NA,NA,TRUE,TRUE,3641,"astraiha","jhahm",TRUE,NA,NA,NA,168,"2018+AC0-08+AC0-01","CO",6,NA,"Mike Coffman","R",TRUE,"classic","0.3516","46.9","41.95","51.77",NA,"RepMikeCoffman",NA,"RepMikeCoffman",FALSE,FALSE
"5",172,"140519774","Rosa DeLauro","rosadelauro","New Haven, CT","Proud to represent CT's 3rd CD. Italian-American, New Haven native, fierce advocate for a strong middle class & those in need. Tweets from Rosa are signed -Rosa","http://t.co/IEn4FrZ95W",FALSE,36499,4238,1271,"Wed May 05 18:11:32 +0000 2010",165,NA,NA,TRUE,TRUE,6418,"astraiha","tholmber",TRUE,NA,NA,NA,179,"2018+AC0-08+AC0-01","CT",3,NA,"Rosa L. DeLauro","D",TRUE,"classic","0.9999","69.57","64.43","74.76",NA,"rosadelauro",NA,"rosadelauro",FALSE,FALSE
"6",592,"18277655","Rep. Pete King","RepPeteKing","Seaford, New York","Representing New York's 2nd Congressional District","http://t.co/KPR17HxYvl",FALSE,34667,102,1717,"Sun Dec 21 02:49:32 +0000 2008",138,NA,NA,TRUE,TRUE,2603,"astraiha","cvonmeng",TRUE,NA,NA,NA,638,"2018+AC0-08+AC0-01","NY",2,NA,"Pete King","R",TRUE,"classic","0.8047","52.3","46.61","58.03",NA,"RepPeteKing",NA,"RepPeteKing",FALSE,FALSE
"7",199,"281540744","Daniel Webster","RepWebster","Central Florida","A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.","http://t.co/b57txtC4Hx",FALSE,23390,291,771,"Wed Apr 13 13:47:05 +0000 2011",110,NA,NA,FALSE,TRUE,3264,"astraiha","alklein",TRUE,NA,NA,NA,207,"2018+AC0-08+AC0-01","FL",11,NA,"Daniel Webster","R",TRUE,"classic","0.9989","65.01","59.51","70.4",NA,"RepWebster",NA,"RepWebster",FALSE,FALSE
"8",55,"303861808","Mike Thompson","RepThompson","St. Helena, CA","Rep. Mike Thompson represents California's 5th Congressional District and chairs the House Gun Violence Prevention Task Force.","http://t.co/nPlTDF4THi",FALSE,23349,196,724,"Mon May 23 14:58:06 +0000 2011",39,NA,NA,FALSE,TRUE,7200,"astraiha","jhahm",TRUE,NA,NA,NA,56,"2018+AC0-08+AC0-01","CA",5,NA,"Mike Thompson","D",TRUE,"classic","0.9994","79.94","71.76","87.61",NA,"RepThompson",NA,"RepThompson",FALSE,FALSE
"9",779,"22523087","Jim Cooper","repjimcooper","Nashville, Tennessee","Official feed of U.S. Rep. Jim Cooper. Blue Dog Democrat representing Nashville area in Congress. Married with 3 great kids. Tweets by Jim & staff.","http://t.co/oqGeCZBvPf",FALSE,22429,662,860,"Mon Mar 02 14:25:32 +0000 2009",724,NA,NA,FALSE,TRUE,2770,"astraiha","cvonmeng",TRUE,NA,NA,NA,834,"2018+AC0-08+AC0-01","TN",5,NA,"Jim Cooper","D",TRUE,"classic","0.9999","67.06","62.04","72.1",NA,"repjimcooper",NA,"repjimcooper",FALSE,FALSE
"10",404,"37007274","Rep. Don Young","repdonyoung","Ft. Yukon, AK","Merchant Marine, Teacher, State Rep, State Senator, Congressman for all Alaska for the last 44 years and Dean of the US House.","https://t.co/igN7z1qk5z",FALSE,17657,628,1106,"Fri May 01 18:31:38 +0000 2009",241,NA,NA,FALSE,TRUE,1642,"astraiha","alklein",FALSE,NA,"StenyHoyer",NA,423,"2018+AC0-08+AC0-01","MD",5,NA,"Steny H. Hoyer","D",TRUE,"classic","1","69.67","64.28","74.98",NA,"repdonyoung","StenyHoyer","StenyHoyer",FALSE,FALSE
