"","name","party"
"1","Aaron Avouris","Libertarian Party"
"2","Aaron Fraser","Democratic Party"
"3","Adam E. Haas","Independent"
"4","Adam Kokesh","Libertarian Party"
"5","Adam Nicholas Paul","Independent"
"6","Adam Seaman","Nonpartisan"
"7","Adrian J. Cox","Democratic Party"
"8","Adrienne Howard","Democratic Party"
"9","Ahmad Saide","Nonpartisan"
"10","Ajay Sood","Independent"
"11","Akiva Leffert","Democratic Party"
"12","Alan Augustson","Green Party"
"13","Alan Gordon","Independent"
"14","Alan Howe","Democratic Party"
"15","Alan Moravetz","Independent"
"16","Alan Spears","Republican Party"
"17","Albert James Felix","Liberal Party"
"18","Alec Zajac","Independent"
"19","Alexander Dewey Fox","Nonpartisan"
"20","Alexander Harris","Nonpartisan"
"21","Alexander Marcopolus","Unaffiliated"
"22","Alexandria Tate","Republican Party"
"23","Alexis Goodson","Nonpartisan"
"24","Alex Krupkin","Other"
"25","Alex Lloyd Gross","Independent"
"26","Alfred Murphy","Progressive Party"
"27","Alicia Barbine","Independent"
"28","Allen Bouska","American Independent Party"
"29","Alonzo Tablet Martin Sr.","Republican Party"
"30","Aloysius R. Marcinek","Independent"
"31","Alvin Harrison","Democratic Party"
"32","Amanda Estepp","Independent"
"33","Amani Jarrar","Other"
"34","Amie Hilton","Democratic Party"
"35","Ami Horowitz","Democratic Party"
"36","Amy Klobuchar","Democratic Party"
"37","Anastasia Halcomb","Independent"
"38","Andre Nantkes","Republican Party"
"39","Andre Phillip Green","Democratic Party"
"40","Andrew Dugandzic","Independent"
"41","Andrew Heartdoc Chung","Nonpartisan"
"42","Andrew Lee Hicks","Nonpartisan"
"43","Andrew Locklin Barringer","Republican Party"
"44","Andrew Phillips","Democratic Party"
"45","Andrew Ternay","Unaffiliated"
"46","Andrew Wildman","Independent"
"47","Andrew Yang","Democratic Party"
"48","Andy Williams Jr.","Libertarian Party"
"49","Angela Glass","Independent"
"50","Angela Ja Yung Min","Republican Party"
"51","Angelo Yoshannah Scrigna","Independent"
"52","Aniello Grimaldi","Democratic Party"
"53","Anita Belle","Democratic Party"
"54","Anthony Alongi","Nonpartisan"
"55","Anthony D. Beckwith","Unaffiliated"
"56","Anthony DeWayne Hill","Democratic Party"
"57","Anthony Gaetano Bernice","Independent American Party"
"58","Anthony James Allred","Democratic Party"
"59","Anthony Kevin Moss Jr.","Independent"
"60","Anthony Moriello","Independent"
"61","Anthony M. Piazza","Democratic Party"
"62","Antonio Smith","Independent"
"63","Ari Hooper","Nonpartisan"
"64","Arnold Matthew Jones","Democratic Party"
"65","Artemus Suarez Cohen Eden","Democratic Party"
"66","Arthur Van Houten","Constitution Party"
"67","Arvin Vohra","Libertarian Party"
"68","Audwin Barnes","Other"
"69","Augustus Sol Invictus","Republican Party"
"70","Austin Pack","Independent"
"71","Avital Hadas Oberstein","The Human Rights Party"
"72","Barbara Ruth Bellar","Republican Party"
"73","Baruch Margolis","Unaffiliated"
"74","Bella Robinson","Independent"
"75","Ben Gleiberman","Democratic Party"
"76","Benjamin G. Leder","Libertarian Party"
"77","Benjamin Leyva","Nonpartisan"
"78","Benjamin Marc Elias","Unaffiliated"
"79","Benjamin Michael Osborn","Conservative Party"
"80","Benjamin Peter Kozlowski","Democratic Party"
"81","Bennett Davlin","Democratic Party"
"82","Bernard Korn","Democratic Party"
"83","Bernie Sanders","Democratic Party"
"84","Beto O'Rourke","Democratic Party"
"85","Betty Dang","Republican Party"
"86","Bill de Blasio","Democratic Party"
"87","Bill Haas","Democratic Party"
"88","Bill Weld","Republican Party"
"89","Billy Rubin","Independent"
"90","Blaine Russell Lechko","Democratic Party"
"91","Bob Calderone","Independent"
"92","Bob Devine","Independent"
"93","Bob Ely","Republican Party"
"94","Bowen Lee Parker","Nonpartisan"
"95","Brad C. Stephens","Independent"
"96","Brad Letney","Republican Party"
"97","Bradley Scott Hartliep","Libertarian Party"
"98","Bradley S. King","Unaffiliated"
"99","Bradley William Ishman","Independent"
"100","Brandin Lea","Libertarian Party"
"101","Brandon Buccola","Independent"
"102","Brandon Cekander","Independent"
"103","Brandon W. Acker","Democratic Party"
"104","Braydn Phipps","Republican Party"
"105","Brenda Justice","Republican Party"
"106","Brent Jay Natzle","Republican Party"
"107","Bret Marzock","Independent"
"108","Brett Henderson","Nonpartisan"
"109","Brian Ellison","Libertarian Party"
"110","Brian Fehrman","Independent"
"111","Brian Humphrey","Other"
"112","Brian Moore","Democratic Party"
"113","Brian Moutoux","Democratic Party"
"114","Brian Newnan","Democratic Party"
"115","Brian Padrick Drake","Nonpartisan"
"116","Brian R. Curro","Independent"
"117","Brian T. Carroll","Nonpartisan"
"118","Brooke Mullen","Nonpartisan"
"119","Bruce John Kenneway","Nonpartisan"
"120","Bryan Lawler","Nonpartisan"
"121","Burak Agun","Democratic Party"
"122","Cad DeVaughn","Independent American Party"
"123","Caleb Ganzer","Democratic Party"
"124","Caleb Gaul","Democratic Party"
"125","Cameron Jones","Libertarian Party"
"126","Candace Marie Bates Avina","Nonpartisan"
"127","Carl Arrechea","Nonpartisan"
"128","Carl Jackson","Independent"
"129","Carlos Antonio Alcantara","Nonpartisan"
"130","Carmelo Pinnavaria","Nonpartisan"
"131","Carmen Ka'ana'ana","Independent"
"132","Carrie Bittay-D'intino","Democratic Party"
"133","Carroll Montague Price Jr.","Democratic Party"
"134","Catherine Anne Forsman","Democratic Party"
"135","Cathy Johnson Pendleton","Republican Party"
"136","Caylend Anthony Edward Childs","Democratic Party"
"137","Cecelia Sanborn","Nonpartisan"
"138","Cecil Albert Richardson","Republican Party"
"139","Cecil Anthony Southwest Ince","Libertarian Party"
"140","Cecilia Okugo","Democratic Party"
"141","Cedric Jefferson","Libertarian Party"
"142","Cesar Cisneros","Republican Party"
"143","Cesar Labitan","Independent"
"144","Chad Michael Jorgenson","Independent"
"145","Chad Wilson","Green Party"
"146","Chance Trahan","Nonpartisan"
"147","Charlene Latham","Republican Party"
"148","Charles Edward Mills","Nonpartisan"
"149","Charles Junior Hodge","Independent"
"150","Charles Kovacs","Nonpartisan"
"151","Charles Kraut","Constitution Party"
"152","Charles Landon Hodges","Democratic Party"
"153","Charles Richard Ranslem","Nonpartisan"
"154","Charleta McInnis","Democratic Party"
"155","Cherunda Lynn Fox","Independent"
"156","Chiyo Mihama","Communist Party"
"157","Chomi Prag","Nonpartisan"
"158","Christian Alexander Arzu","Democratic Party"
"159","Christina Gerasimos Billings-Elias","Democratic Party"
"160","Christina Marie Cabral","Independent American Party"
"161","Christine Weston Chandler","U.S. Taxpayers Party"
"162","Christin Noel Powers","Democratic Party"
"163","Christopher Brainard","Republican Party"
"164","Christopher Calderon","Democratic Party"
"165","Christopher Christian Watkins","Independent"
"166","Christopher Clayton","Republican Party"
"167","Christopher Florquist","Unaffiliated"
"168","Christopher Francis Weaver","Libertarian Party"
"169","Christopher James Hurley","Unaffiliated"
"170","Christopher Johnson","Republican Party"
"171","Christopher Joseph De La Torre","Republican Party"
"172","Christopher Lawrence Jackson","Independent Conservative Democratic Party"
"173","Christopher Lee Breiler","Independent"
"174","Christopher Lee Conkey","Nonpartisan"
"175","Christopher Lee Langston","Democratic Party"
"176","Christopher Life","Nonpartisan"
"177","Christopher McCarthy","Nonpartisan"
"178","Christopher Owen Ebert","Independent"
"179","Christopher Paul Rella","Democratic Party"
"180","Christopher Randall Dolin","Democratic Party"
"181","Christopher Rockman","Nonpartisan"
"182","Christopher Ryan Marks","Nonpartisan"
"183","Christopher Stefan","Libertarian Party"
"184","Christopher Stried","Independent"
"185","CJ Cary","Republican Party"
"186","Claire Elisabeth Elliott","Independent"
"187","Clara Miller","Democratic Party"
"188","Clarice Newton","American People's Freedom Party"
"189","Clayton Ressler","Nonpartisan"
"190","Clifford Allen Englerth","Nonpartisan"
"191","Clifton Roberts","Nonpartisan"
"192","Cline Russell","Democratic Party"
"193","Cody Kennedy","Independent"
"194","Cole Alan Pravda","Republican Party"
"195","Colin Pillsbury","Unaffiliated"
"196","Colt Hample","Constitution Party"
"197","Connie Gammon","Unaffiliated"
"198","Conrad Hans Hubisch","Independent"
"199","Consuelo Barbetta","The Human Rights Party"
"200","Contessa Courtney Anderson","Democratic Party"
"201","Corbin Zane Cater","Republican Party"
"202","Corgan Larson","Independent"
"203","Cory Booker","Democratic Party"
"204","Courtney Davis","Independence Party"
"205","Crusificio Gambino","Nonpartisan"
"206","Crystal Ann Hale","Independent"
"207","Crystal Bergfield","Independent"
"208","Crystal Porter","Unaffiliated"
"209","Curtis Gittelman","Nonpartisan"
"210","Curt Nichols","Green Party"
"211","Dakinya Jefferson","Libertarian Party"
"212","Dakoda Foxx","Democratic Party"
"213","Dakota Hale","Libertarian Party"
"214","Dale Beckman","Independent"
"215","Damien Garrett Chiodo","Democratic Party"
"216","Dan Behrman","Libertarian Party"
"217","Daniel Baker","Democratic Party"
"218","Daniel Benedix","Libertarian Party"
"219","Daniel Blain","Democratic Party"
"220","Daniel Bryant","Veterans Party of America Party"
"221","Daniel Christmann","Libertarian Party"
"222","Daniel Clyde Cummings","Constitution Party"
"223","Daniel Davenport","Libertarian Party"
"224","Daniel DeClements","Republican Party"
"225","Daniel Frishberg","Republican Party"
"226","Daniel Gallo","Nonpartisan"
"227","Daniel James Boblit","Nonpartisan"
"228","Daniel Jonathan House","Independent"
"229","Daniel L. Davis","Republican Party"
"230","Daniel M. Holloway","Democratic Party"
"231","Daniel Segal","Democratic Party"
"232","Daniel White","Independent"
"233","Dannie Bradshaw","Independent"
"234","Danny Nathaniel Hawkins Jr.","Nonpartisan"
"235","Daphne Denise Bradford","Democratic Party"
"236","Darcie Allen","Independent"
"237","Darcy Richardson","Reform Party"
"238","Dario David Hunter","Green Party"
"239","Darius La'Ron Mitchell","Republican Party"
"240","Darren Zook","Independent"
"241","Darryl Cedric White","Nonpartisan"
"242","Darryl Murphy","Republican Party"
"243","Darryl P. Hendricks","Democratic Party"
"244","Darryl Scott Rains","Republican Party"
"245","David Aaron Karaffa","Independent"
"246","David Alan Wilkerson","Independent"
"247","David Andrew Christenson","Nonpartisan"
"248","David Earl Curington","Independent"
"249","David Frank","Independent"
"250","David Goode","Independent"
"251","David John Thistle","Democratic Party"
"252","David Jon Sponheim","Nonpartisan"
"253","David Knoll","Republican Party"
"254","David Librace","Republican Party"
"255","David Oswald Griffith","Republican Party"
"256","David Raphael","Other"
"257","David Raphael Herz","Republican Party"
"258","David Rice","Republican Party"
"259","David Rolde","Green Party"
"260","David Scott Curtis","Unaffiliated"
"261","Davy Gunfish","Democratic Party"
"262","Deandre Lamont Solomon","Democratic Party"
"263","Deborah Ann Rouse","Nonpartisan"
"264","Deborah Marron","Republican Party"
"265","Deeanna Michelle R. Jones","Republican Party"
"266","DeJawon Joseph","Democratic Party"
"267","Demetra Wysinger","Libertarian Party"
"268","Demondria Jefferson","Libertarian Party"
"269","Denis Seric","Nonpartisan"
"270","Dennis A. Diaz","Independent"
"271","Dennis Jeffrey Nusbaum","Democratic Party"
"272","Dennis Lambert","Green Party"
"273","Derick Taube","Nonpartisan"
"274","Derrick Eggleston","Nonpartisan"
"275","Derrick Michael Reid","Libertarian Party"
"276","Derrick Wadell Cooper","American People's Freedom Party"
"277","De'Sean Raynard Hawthorne","Democratic Party"
"278","De'Sean Sunlight M. Hawthorne","Democratic Party"
"279","Deval Patrick","Democratic Party"
"280","Devin Arendt","Nonpartisan"
"281","Dimitri Anastasios L. Panagopoulos","Republican Party"
"282","Domingo Ramos","Republican Party"
"283","Donald Eugene Lowe","Democratic Party"
"284","Donald Gillen","Democratic Party"
"285","Donald Glenn Hewett","Republican Party"
"286","Donald R. Cope","Independent"
"287","Donald Sauter","Nonpartisan"
"288","Donald Trump","Republican Party"
"289","Don Blankenship","Constitution Party"
"290","Don Grundmann","Constitution Party"
"291","Donna Han Stroud","Republican Party"
"292","Donna Jean Alston","Democratic Party"
"293","Doris Brown","Democratic Party"
"294","Doug Jenkins","Independent"
"295","Douglas Walter Sabbag","Democratic Party"
"296","Doug Shreffler","Democratic Party"
"297","Doug Van Raam","Other"
"298","Duane Heppner","Green Party"
"299","Dustin L. Good","Republican Party"
"300","Dustin Ryan Shewbert Sr.","Democratic Party"
"301","Dwayne Varnado","Democratic Party"
"302","Dwight Smith","Nonpartisan"
"303","Dyral McGriff","Nonpartisan"
"304","Earnest Lee Easton","Independent"
"305","Edie Bukewihge","Democratic Party"
"306","Eduardo Manuel Torres Jr.","Green Party"
"307","Eduardo Uvalle","Nonpartisan"
"308","Edward Kimbrough","Democratic Party"
"309","Edward Whang","Nonpartisan"
"310","Elijah Manley","Socialist Party"
"311","Eliud Resendez","Nonpartisan"
"312","Elizabeth Black","Democratic Party"
"313","Elizabeth Marie Dyer","Republican Party"
"314","Elizabeth Warren","Democratic Party"
"315","Ella Hall","Democratic Party"
"316","Ellerton Whitney","Libertarian Party"
"317","Ellerton Whitney","Nonpartisan"
"318","Ellis W. Drewery","Independent"
"319","Elmer S. Mohr","Nonpartisan"
"320","Emilio Chavez Jr.","Independent"
"321","Emily Adams","Democratic Party"
"322","Emily Rosas","Democratic Party"
"323","Eric Donohue","Nonpartisan"
"324","Eric Meiring","Independent"
"325","Eric Renaldo Fludd","Republican Party"
"326","Eric Scott Cavanagh","Republican Party"
"327","Eric Swalwell","Democratic Party"
"328","Eric Zator","Republican Party"
"329","Erika Ronice Blakely","Citizens' Party"
"330","Erik Brown","Republican Party"
"331","Erik Chase Gerhardt","Libertarian Party"
"332","Erik Leckner","Democratic Party"
"333","Erlyndon Joseph Lo","Democratic Party"
"334","Ervan Miller","Democratic-Farmer Labor Party"
"335","Esther Caroline Aebi","Democratic Party"
"336","Ethan Alcorn","Independent"
"337","Ethan James Keller","Independent American Party"
"338","Ethan Russell","Unaffiliated"
"339","Eugene Arnold","Nonpartisan"
"340","Eugene Patilio","Green Party"
"341","Evan Bernard Boroch","Democratic Party"
"342","Evret Greer","Libertarian Party"
"343","Felix Biederman","Veterans Party of America Party"
"344","Franklin James Erwin","Independent"
"345","Frank Quinn","Nonpartisan"
"346","Frank Walter Dworak","Democratic Party"
"347","Fran Walker","Republican Party"
"348","Franz Aliquo","Democratic Party"
"349","Frederick Nettleton","Democratic Party"
"350","Frederick Osborne","Independent"
"351","Frederic Schultz","Democratic Party"
"352","Fred Wiand","Democratic Party"
"353","Gabriel Elias Van Duren","Independent"
"354","Gail Chord Schuler","Republican Party"
"355","Garrett Powell","Republican Party"
"356","Gary Clemente","Independent"
"357","Gary C. Turner","Democratic Party"
"358","Gary Dennis Disney","American Party"
"359","Gary James Schwigen","Democratic Party"
"360","Gary Smith","Democratic Party"
"361","Gary Stephen Hill","Nonpartisan"
"362","Gary Swing","Green Party"
"363","Geby Espinosa","Republican Party"
"364","George Clinton Brown","Democratic Party"
"365","George D. Miklos","American Independent Conservative Party"
"366","George Fraser","Independent"
"367","George Wayne Dietrich II","Democratic Party"
"368","George Wilson","Democratic Party"
"369","Gerald Windham","Independent"
"370","Gerasimos Manolatod","Democratic Party"
"371","Gidget Groendyk","Democratic Party"
"372","Glenn Scott Allistair Simpson","Democratic Party"
"373","Gloria La Riva","Peace and Freedom Party"
"374","Grant Ethridge Ohanian","Democratic Party"
"375","Grant Stephen Goodman","Nonpartisan"
"376","Greggory Shadle Sr.","Independent"
"377","Gregory Boyer","Nonpartisan"
"378","Gregory D. McCollum Sr.","Unaffiliated"
"379","Gregory Francis Votruba","Democratic Party"
"380","Gregory Mark Guillaume","Republican Party"
"381","Gregory Mikolay","Democratic Party"
"382","Greg Walton","Other"
"383","Gus Williams","Democratic Party"
"384","Harlan Savala","Democratic Party"
"385","Harold Marvin Carrington Jr.","Citizens' Party"
"386","Harry Tyrone Mapp","Democratic Party"
"387","Harry William Braun III","Democratic Party"
"388","Hart P. Cunningham","Democratic Party"
"389","Heather Horst","Libertarian Party"
"390","Henry Hewes","Democratic Party"
"391","Herbert Ezekiel Zeke Smyth","Democratic Party"
"392","Hernan Melgarejo","Democratic Party"
"393","Hillary Quartley","Socialist Party"
"394","Holly Woolsey","Liberal Party"
"395","Hope Dir","Republican Party"
"396","Hope Shaw","Republican Party"
"397","Horace Taylor","Independent"
"398","Hosanna Jesse O. Gray","Democratic Party"
"399","Howard Stauffer","Republican Party"
"400","Howie Hawkins","Green Party"
"401","Hubert Sean Francisco","Independent"
"402","Huhnkie Lee","Republican Party"
"403","Hunter Hipple","Independent"
"404","Ian Edward Pleasant","Nonpartisan"
"405","Ian Ingalls Burlingame","Independent"
"406","Ian Petro","Independent"
"407","Ian Schlakman","Green Party"
"408","Innaya Afzal","Republican Party"
"409","Ishah Wright","Democratic Party"
"410","Ivan-Jan Cruz Desuasido","Green Party"
"411","Jack Angus Nevin","Democratic Party"
"412","Jackie Irene Bower","Democratic Party"
"413","Jack Lewis Charbonneau","Independent"
"414","Jack Robinson","Independent"
"415","Jacob Hornberger","Libertarian Party"
"416","Jacob Johnston","Republican Party"
"417","Jacob Kaufer","Nonpartisan"
"418","Jacob Sherrod","Republican Party"
"419","Jacob Taylor","Independent"
"420","Jaden Thomas Farris","Democratic Party"
"421","Jade Simmons","Unaffiliated"
"422","James A. Kirkpatrick","Independent"
"423","James Allen Polk","Independent"
"424","James Bell","Democratic Party"
"425","James Cartrell Fox","Democratic Party"
"426","James Edalgo","Nonpartisan"
"427","James Gray Mason","Nonpartisan"
"428","James Harvey","Republican Party"
"429","James H. Lionel","American Independent Party"
"430","James Holland Jr.","Republican Party"
"431","James Jr. Athans","Democratic Party"
"432","James Ma","Democratic Party"
"433","James McGuffin","Democratic Party"
"434","James Meroney","Republican Party"
"435","James Orlando Ogle III","Green Party"
"436","James Paris Firmani","Independent"
"437","James Pence Bagiackas","Nonpartisan"
"438","James Peppe","Republican Party"
"439","James Rives","Democratic Party"
"440","James Ryan Srail","Independent"
"441","James Valentine","Nonpartisan"
