"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"1","$174,000","(2012) $872,504","November 6, 2018","August 18, 2020","Yuba Junior College, 1952","Chico State University, 1958","United States Army","1955 - 1957","Christian: Episcopalian","Teacher, Riverboat Captain, Politician"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,"July 14, 2020",NA,"University of South Alabama",NA,NA,NA,"Vice President of Sales USA, Thermission"
"9",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Educator"
"10",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,"Christian","Business owner"
"12",NA,NA,NA,"July 14, 2020","Enterprise State Junior College","Auburn University, 1992","Army National Guard",NA,"Christian","Business owner"
"13","$174,000","(2012) $2,518,011","November 6, 2018","November 3, 2020",NA,"Jacksonville State University, 1981",NA,NA,"Christian: Baptist","Attorney"
"14",NA,NA,NA,"November 3, 2020",NA,"Wilberforce University",NA,NA,NA,"Psychologist"
"15","$174,000","(2012) $2,429,008","November 6, 2018","November 3, 2020",NA,"Birmingham Southern College, 1987",NA,NA,"Christian: Baptist","Attorney"
"16",NA,NA,NA,"November 3, 2020",NA,"University of North Carolina, Charlotte, 1979","United States Army","1965 - 1972",NA,NA
"17","$174,000","(2012) $962,523","November 6, 2018","November 3, 2020",NA,"Duke University, 1975",NA,NA,"Christian","Attorney"
"18","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Alabama",NA,NA,"Christian: Presbyterian",NA
"19",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Methodist","Student, Bank teller"
"20","$174,000","(2012) $191,507","November 6, 2018","November 3, 2020",NA,"Princeton University, 1986",NA,NA,"African Methodist Episcopal","Attorney"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","$174,000","(2012) $-175,001","November 6, 2018","November 3, 2020",NA,"Arkansas State University, 1996","United States Army","1985 - 1989","Christian",NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,"Business"
"25","$39,400/year",NA,"November 6, 2018","November 3, 2020",NA,"Southern Arkansas University, 1973",NA,NA,NA,"Director of Legislative Outreach for The College Board"
"26",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"27","$174,000","(2012) $129,503","November 6, 2018","November 3, 2020",NA,"Arkansas Technical University, 1979","Arkansas Army National Guard","1979 - 2009","Christian: Baptist",NA
"28",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,"November 3, 2020",NA,"Wayland Baptist University","U.S. Navy","1992 - 1997",NA,"Public School Teacher"
"30","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Arkansas, 1990",NA,NA,"Christian: Baptist","Engineer/Forester, Mid-South Engineering Company"
"31",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,"November 3, 2020",NA,NA,"Navy, journalist 2nd class","1968 - 1972",NA,NA
"33","$174,000",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,"Small business owner"
"35",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,"Eastern New Mexico University",NA,NA,NA,"Retailer"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mayor"
"38",NA,NA,NA,"August 4, 2020",NA,"Southern Utah University, 1994",NA,NA,NA,"Attorney"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","$174,000","(2012) $1,169,007","November 6, 2018","August 4, 2020",NA,"University of Arizona",NA,NA,"Christian: Catholic","Attorney"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,"August 4, 2020",NA,"University of Arizona, 2005",NA,NA,"Christian","Support technician"
"50",NA,NA,NA,NA,"Hutchinson Community College","Ottawa University",NA,NA,"Christian: Methodist","Business owner"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"53","$174,000","(2012) $199,506","November 6, 2018","August 4, 2020",NA,"University of Arizona, 1986",NA,NA,"Christian: Catholic",NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"56","$174,000","(2012) $982,501","November 6, 2018","August 4, 2020",NA,"Creighton University, 1981",NA,NA,"Christian: Catholic","Owner, Dentistry Practice"
"57",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"61","$174,000",NA,"November 6, 2018","August 4, 2020",NA,"Brigham Young University",NA,NA,NA,"Attorney"
"62",NA,NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,"U.S. Army",NA,NA,NA
"66",NA,NA,NA,"August 4, 2020",NA,"Arizona State University, 1993",NA,NA,"Catholic","Attorney"
"67",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"68","$174,000","(2012) $3,149,506","November 6, 2018","August 4, 2020",NA,"Arizona State University",NA,NA,"Christian: Catholic","Co-Owner, Real Estate Business"
"69",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,"November 3, 2020",NA,NA,"U.S. Air Force","1974 - 1974","Christian: Methodist",NA
"74",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"75","$174,000",NA,"November 6, 2018","August 4, 2020",NA,"Harvard University","United States Marine Corps",NA,"Christian: Catholic",NA
"76",NA,NA,NA,"August 4, 2020",NA,"Purdue University",NA,NA,"Catholic",NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","$174,000",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,"Hearing Officer, North Valley Justice Court"
"79",NA,NA,NA,NA,NA,NA,NA,NA,"Christian",NA
"80",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,"Christian",NA
"81",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"83","$174,000",NA,"November 6, 2018","August 4, 2020",NA,"Marquette University",NA,NA,NA,"Attorney"
"84",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,"Christian: Catholic",NA
"86",NA,NA,NA,"August 4, 2020",NA,"Rochester Institute of Technology",NA,NA,"Christian","Engineer"
"87",NA,NA,"August 30, 2016","August 4, 2020",NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"92","$174,000","(2012) $3,456,503","November 6, 2018","November 3, 2020",NA,"California Polytechnic University, San Luis Obispo, 1982",NA,NA,"Christian","Business owner"
"93",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"94","$174,000","(2012) $457,010","November 6, 2018","November 3, 2020",NA,"University of California, Santa Barbara",NA,NA,NA,"Attorney"
"95",NA,NA,NA,"November 3, 2020",NA,NA,"U.S. Navy","1979 - 1983",NA,NA
"96","$174,000","(2012) $7,425,007","November 6, 2018","November 3, 2020",NA,"University of California, Berkeley",NA,NA,"Christian","Rancher"
"97",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian",NA
"98","$174,000","(2012) $-30,498","November 6, 2018","November 3, 2020",NA,"University of California, Los Angeles, 1988",NA,NA,NA,NA
"99",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"100","$174,000","(2012) $2,238,005","November 6, 2018","November 3, 2020","Napa Valley College","California State University, Chico, 1982","United States Army","1969 - 1972","Christian: Catholic",NA
"101",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"102","$174,000","(2012) $1,444,009","November 6, 2018","November 3, 2020",NA,"University of California, Berkeley, 1966",NA,NA,"Christian: Methodist",NA
"103",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Catholic","Realtor, Financial investigator"
"104","$174,000","(2012) $5,128,535","November 6, 2018","November 3, 2020",NA,"University of California, Irvine, 1987",NA,NA,"Unitarian","Doctor"
"105",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,"University of California, Irvine",NA,NA,NA,"Small business owner"
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","$104,118/year",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,"Business"
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,"Christian",NA
"116","$174,000","(2012) $384,002","November 6, 2018","November 3, 2020",NA,"University of New Mexico",NA,NA,"Christian: Catholic","Energy Engineer"
"117",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"118","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"Stanford University",NA,NA,NA,NA
"119",NA,NA,NA,"November 3, 2020",NA,"University of California, Davis, 1990",NA,NA,"Christian","Veterinarian"
"120","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"College of the Holy Cross, 1952",NA,NA,NA,"Restaurateur"
"121",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"122","$223,500","(2012) $87,997,030","November 6, 2018","November 3, 2020",NA,"Trinity College, 1962",NA,NA,"Christian: Catholic",NA
"123",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Muslim","Attorney"
"124","$174,000","(2012) $385,007","November 6, 2018","November 3, 2020",NA,"Mills College",NA,NA,"Christian: Baptist","Social worker"
"125",NA,NA,NA,"November 3, 2020",NA,"University of California, Berkeley",NA,NA,NA,NA
"126","$174,000","(2012) $10,416,039","November 6, 2018","November 3, 2020",NA,"University of California, Davis",NA,NA,"Christian: Catholic","Attorney"
"127",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Financial executive"
"128","$174,000","(2012) $40,501","November 6, 2018","November 3, 2020",NA,"University of Maryland, College Park",NA,NA,"Christian","Attorney"
"129",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Special Education Teacher"
"130","$174,000","(2012) $3,839,003","November 6, 2018","November 3, 2020",NA,"California State University, Fresno",NA,NA,"Christian: Catholic","Rancher"
"131",NA,NA,NA,"November 3, 2020",NA,"California State University, Fresno, 1982",NA,NA,"Christian","Educator"
"132","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Chicago",NA,NA,NA,NA
"133",NA,NA,NA,"November 3, 2020",NA,"LD College of Engineering",NA,NA,NA,NA
"134","$174,000","(2012) $2,073,505","November 6, 2018","November 3, 2020","Canada College",NA,NA,NA,"Christian: Catholic","Communications Executive, Political Assistant"
"135",NA,NA,NA,"November 3, 2020",NA,"University of Bombay, 1988",NA,NA,"Hindu","Councilmember of Saratoga/Hi-tech executive"
"136",NA,NA,NA,NA,NA,"Michigan State University",NA,NA,NA,"Doctor"
"137",NA,NA,NA,NA,NA,NA,"U.S. Air Force","1979 - 1984","Christian","Business owner"
"138",NA,NA,NA,NA,NA,"San Jose State University, 1983",NA,NA,NA,NA
"139","$174,000","(2012) $1,710,523","November 6, 2018","November 3, 2020",NA,"Stanford University, 1970",NA,NA,"Christian: Lutheran",NA
"140",NA,NA,NA,NA,NA,NA,NA,NA,"Spiritual",NA
"141",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA,"University of Southern California",NA,NA,"Jewish",NA
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,"November 3, 2020",NA,"University of California, Berkeley, 1992",NA,NA,"Christianity",NA
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","$174,000/year","(2012) $-12,167,002",NA,"November 3, 2020",NA,NA,NA,NA,NA,"Managing Partner, Valadao Dairy"
"148","$174,000","(2012) $183,001","November 6, 2018","November 3, 2020","College of the Sequoias, 1993","California Polytechnic State University, San Luis Obispo, 1995",NA,NA,"Christian: Catholic",NA
"149",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"150","$193,400","(2012) $187,004","November 6, 2018","November 3, 2020",NA,"California State University, Bakersfield",NA,NA,"Christian: Baptist","Business"
"151",NA,NA,NA,"November 3, 2020",NA,"Embry Riddle Aeronautical University",NA,NA,NA,NA
"152","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"153",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"154",NA,NA,"November 6, 2018",NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","$174,000","(2012) $1,478,011","November 6, 2018","November 3, 2020",NA,"George Washington University, 1975",NA,NA,NA,NA
"157",NA,NA,NA,"November 3, 2020",NA,"Ashford University",NA,NA,NA,"Attorney"
"158","$174,000","(2012) $2,212,519","November 6, 2018","November 3, 2020",NA,"University of California, Los Angeles",NA,NA,NA,"College professor"
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
