Name,First Name,District,ballotpedia.org,Party,Election,Incumbent,Sex,Date of Birth,Marital Status,Number of children,Race,Ethnicity,Profession,Compensation,Education,Religion,Citizen voting- age population (District),Voters' Average Age (District),female voters,male voters,Race: White,Race: Black/African American,Race: American Indian/Alaskan Native,Race: Asian,Race: Native Hawaiian/or other Pacific Islander,Race: some other race,Etnicity Composition: Hispanic,Ethnic composition: Latino,Ethnic composition: Spanish,Unemployment rate,Median household income (dollars),Poverty rate,Proper helath insurance rate,Highest education achieved on average,,,,,,,,,,,
Young,Don,AK-AL,https://ballotpedia.org/Don_Young_(Alaska),Rep,House,yes,Male,"June 9, 1933",,,,,,,,,"532,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ballotpedia.org/
Open,,AK-AL,https://ballotpedia.org/_Open,Dem,House,no,,,,,,,,,,,"532,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galvin,Alyse,AK-AL,https://ballotpedia.org/Alyse_Galvin,Ind,House,no,Female,,,,,,,,,,"532,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Thomas,AK-AL,https://ballotpedia.org/Thomas_Lamb,Ind,House,no,Male,,,,,,,,,,"532,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averhart,James,AL-01,https://ballotpedia.org/James_Averhart,Dem,House,no,,,,,,,,,,,"544,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner,Kiani,AL-01,https://ballotpedia.org/Kiani_Gardner,Dem,House,no,,,,,,,,,,,"544,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl,Jerry,AL-01,https://ballotpedia.org/Jerry_Carl,Rep,House,no,,,,,,,,,,,"544,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hightower,Bill,AL-01,https://ballotpedia.org/Bill_Hightower,Rep,House,no,,,,,,,,,,,"544,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey-Hall,Phyllis,AL-02,https://ballotpedia.org/Phyllis_Harvey-Hall,Dem,House,no,,,,,,,,,,,"516,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page,John,AL-02,https://ballotpedia.org/John_Page_(Alabama),Lib,House,no,,,,,,,,,,,"516,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleman,Jeff,AL-02,https://ballotpedia.org/Jeff_Coleman_(Alabama),Rep,House,no,,,,,,,,,,,"516,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
